id_cliente,età,genere,città,tessera_fedeltà
131,56,M,Adrano,sì
132,53,M,Catania,sì
133,34,F,Catania,sì
134,54,F,Misterbianco,no
135,61,M,Catania,sì
136,79,M,Catania,no
137,80,M,Adrano,sì
138,37,M,Adrano,sì
139,28,M,Catania,no
140,46,F,Misterbianco,no
141,56,F,Paternò,sì
142,30,M,Acireale,sì
143,28,M,Acireale,sì
144,27,M,Catania,no
145,75,F,Paternò,sì
146,47,F,Paternò,no
147,27,M,Paternò,sì
148,72,M,Adrano,sì
149,37,F,Acireale,sì
150,25,M,Paternò,sì
151,74,M,Misterbianco,sì
152,69,F,Adrano,no
153,74,M,Adrano,sì
154,73,F,Adrano,sì
155,21,M,Acireale,sì
156,52,M,Acireale,no
157,84,F,Paternò,sì
158,73,F,Catania,no
159,62,F,Paternò,sì
160,31,M,Paternò,no
161,81,F,Misterbianco,sì
162,76,M,Paternò,sì
163,59,M,Misterbianco,sì
164,77,F,Catania,sì
165,84,F,Adrano,no
166,74,M,Acireale,sì
167,34,F,Misterbianco,no
168,33,M,Adrano,sì
169,38,F,Adrano,sì
170,70,M,Acireale,sì
171,77,M,Acireale,no
172,55,F,Misterbianco,no
173,78,M,Misterbianco,sì
174,67,M,Adrano,sì
175,26,F,Misterbianco,sì
176,82,F,Catania,sì
177,56,F,Acireale,no
178,79,F,Paternò,no
179,76,F,Acireale,sì
180,67,M,Misterbianco,sì
181,58,F,Misterbianco,no
182,37,F,Catania,sì
183,82,F,Catania,no
184,30,F,Catania,sì
185,70,M,Catania,no
186,51,F,Adrano,no
187,28,F,Adrano,no
188,58,F,Adrano,sì
189,26,M,Paternò,sì
190,29,F,Catania,sì
191,74,M,Paternò,sì
192,23,F,Catania,sì
193,63,F,Misterbianco,sì
194,49,F,Adrano,sì
195,39,M,Catania,no
196,48,F,Adrano,sì
197,47,F,Paternò,no
198,50,M,Misterbianco,sì
199,38,M,Misterbianco,sì
200,56,F,Paternò,no
