id_vendita,data,id_prodotto,id_farmacia,quantità,prezzo_unitario,id_cliente
57,2023-02-12,37,2,6,21.05,16
58,2024-04-06,22,1,9,3.49,182
59,2024-03-24,34,5,10,16.17,73
60,2024-02-01,22,5,1,26.60,17
61,2023-12-04,36,4,5,34.36,155
62,2023-06-03,6,5,3,13.79,168
63,2024-12-16,26,2,10,5.22,144
64,2024-01-21,22,2,9,27.48,131
65,2024-01-06,24,3,3,14.99,197
66,2024-05-12,15,2,3,34.09,26
67,2024-06-03,34,1,6,25.49,153
68,2024-01-21,11,2,10,8.29,113
69,2023-02-14,24,2,8,30.59,115
70,2023-08-28,16,3,8,9.37,174
71,2024-08-07,30,3,7,17.91,42
72,2023-07-24,9,3,1,35.22,142
73,2023-04-16,34,1,5,8.09,116
74,2024-06-09,28,1,4,35.62,7
75,2024-02-29,26,5,6,39.79,96
76,2023-08-18,21,1,6,7.23,74
77,2024-04-28,9,4,8,36.42,5
78,2023-09-20,10,5,10,6.23,74
79,2023-09-01,8,1,4,32.17,118
80,2023-03-06,32,5,9,27.30,132
81,2024-08-11,10,3,7,28.46,91
82,2023-09-04,27,2,2,15.70,135
83,2024-07-11,33,5,1,19.87,163
84,2024-02-01,17,1,6,15.10,188
85,2024-11-03,7,5,6,15.39,87
86,2024-10-20,30,4,3,4.40,199
87,2024-04-13,19,2,1,35.66,81
88,2023-11-14,26,5,8,30.63,49
89,2023-10-20,4,3,5,15.98,103
90,2024-03-26,22,2,8,15.96,133
91,2023-10-01,28,1,7,33.25,140
92,2023-10-28,7,1,6,13.65,155
93,2024-03-12,29,3,8,35.06,91
94,2024-09-21,18,1,2,17.44,132
95,2024-11-26,2,2,10,18.65,33
96,2023-03-10,24,3,7,3.23,40
97,2024-11-26,24,3,8,23.81,136
98,2024-01-11,21,3,4,2.98,48
99,2024-05-26,25,5,2,11.89,115
100,2023-08-08,19,4,4,34.41,116
101,2023-06-26,29,1,6,28.96,141
102,2024-07-09,20,2,3,21.33,32
103,2023-07-25,16,4,1,23.75,120
104,2024-07-18,40,1,2,39.98,185
105,2024-05-05,27,4,10,38.95,165
106,2023-03-17,30,5,6,33.50,142
107,2024-10-17,12,2,7,34.99,32
108,2024-06-14,20,2,3,28.95,89
109,2024-06-15,6,3,4,22.93,33
110,2024-10-02,40,5,2,8.41,149
111,2023-06-07,40,5,6,23.42,8
112,2023-03-25,37,3,4,17.83,164
113,2023-02-01,35,3,5,32.58,176
114,2024-02-20,30,1,1,17.79,119
115,2023-07-28,39,2,6,14.13,89
116,2024-02-13,24,5,9,11.19,32
117,2023-10-01,16,2,2,37.92,158
118,2024-03-04,11,3,10,9.21,41
119,2024-05-25,30,4,5,5.42,101
120,2024-06-01,16,2,10,3.92,127
121,2024-09-03,31,3,9,9.74,28
122,2024-03-17,17,3,7,17.22,146
123,2024-07-29,24,5,5,21.16,196
124,2024-07-17,40,5,2,5.67,96
125,2023-12-14,24,2,4,17.25,11
126,2023-02-16,9,3,8,7.66,132
127,2023-05-24,40,3,3,25.43,77
128,2024-08-30,33,5,9,23.39,122
129,2023-01-18,22,1,7,32.28,186
130,2024-12-05,2,5,8,26.91,199
131,2024-08-15,15,1,10,21.92,185
132,2024-09-26,10,2,1,28.62,49
133,2023-01-20,21,4,3,9.75,129
134,2024-09-18,4,2,9,14.35,170
135,2024-05-04,25,3,3,22.26,140
136,2023-12-29,17,5,8,11.37,143
137,2023-11-02,20,3,4,20.58,123
138,2023-12-24,18,3,2,22.64,102
139,2023-12-20,19,1,5,5.00,114
140,2024-11-02,31,2,4,12.30,144
141,2024-12-13,9,1,10,11.09,13
142,2024-11-16,15,2,1,14.55,121
143,2023-04-13,9,1,9,8.00,168
144,2024-05-02,13,3,6,4.25,197
145,2023-04-02,37,2,9,34.31,10
146,2023-06-29,12,1,7,9.08,192
147,2023-10-24,1,3,10,37.28,86
148,2023-10-19,35,5,8,7.10,130
149,2024-04-24,13,1,6,19.44,66
150,2023-07-10,22,3,10,9.34,157
151,2024-10-16,28,5,6,27.43,48
152,2023-05-24,21,2,1,10.95,193
153,2023-10-01,20,5,10,37.52,168
154,2024-01-04,16,1,2,8.07,176
155,2024-05-29,20,1,5,10.39,35
156,2024-05-04,30,5,6,22.87,121
157,2024-07-04,14,2,10,5.11,115
158,2024-06-24,24,1,10,33.49,130
159,2023-07-27,35,2,3,21.77,30
160,2024-11-27,38,4,2,18.93,15
161,2024-04-09,33,4,8,23.23,173
162,2023-11-12,2,4,5,30.34,149
163,2023-03-16,28,3,2,4.29,18
164,2024-04-28,19,4,3,31.10,187
165,2024-10-23,24,4,8,36.46,97
166,2023-03-24,35,2,6,39.73,101
167,2024-06-25,15,1,1,19.59,185
168,2024-07-11,35,4,4,15.15,71
169,2023-07-13,8,1,7,37.58,5
170,2023-09-04,5,1,10,24.72,181
171,2023-02-19,3,4,8,10.26,199
172,2023-02-27,33,3,4,29.80,82
173,2024-08-14,21,2,5,39.46,134
174,2023-08-15,20,3,1,24.48,189
175,2023-06-29,28,5,8,15.09,165
176,2024-11-18,34,3,7,13.40,48
177,2024-07-04,16,2,5,7.49,119
178,2023-03-01,27,4,9,16.76,66
179,2023-07-28,6,4,6,29.53,49
180,2023-02-22,25,5,10,4.77,195
181,2024-08-24,36,2,8,36.47,78
182,2023-01-16,13,1,8,28.43,181
183,2023-07-29,16,5,6,16.47,137
184,2024-10-26,20,3,6,20.90,26
185,2024-04-25,14,3,6,23.38,57
186,2023-05-30,17,5,10,17.87,40
187,2023-07-20,15,4,10,20.97,168
188,2024-12-02,17,4,8,29.85,91
189,2023-06-23,35,4,3,22.60,165
190,2023-03-02,3,1,1,17.67,162
191,2023-08-25,10,1,4,16.18,159
192,2024-10-15,40,4,8,22.39,137
193,2024-07-18,1,1,9,22.36,74
194,2023-01-18,28,2,2,21.93,62
195,2023-07-16,34,3,6,17.08,96
196,2024-02-20,37,2,4,33.47,21
197,2024-10-31,3,1,7,23.00,15
198,2024-10-14,11,1,8,26.51,85
199,2024-08-02,34,1,4,34.99,146
200,2024-05-01,3,1,5,23.41,9
201,2023-07-03,2,2,10,33.19,102
202,2023-03-20,11,5,4,34.28,174
203,2024-07-07,25,2,2,39.02,14
204,2023-04-11,15,1,6,25.33,153
205,2024-02-11,2,3,8,15.52,97
206,2024-03-18,38,4,2,13.22,64
207,2024-12-31,6,3,3,31.79,40
208,2024-02-03,24,1,2,29.14,79
209,2024-03-31,18,1,3,18.38,143
210,2024-07-22,27,1,1,23.06,153
211,2024-09-04,25,1,5,31.61,186
212,2024-07-26,37,5,3,8.44,69
213,2023-11-05,32,2,2,12.49,77
214,2024-05-10,24,3,4,20.84,158
215,2023-07-20,7,2,5,23.68,102
216,2023-12-07,25,3,8,32.99,167
217,2024-08-31,20,3,10,9.63,81
218,2023-07-01,21,3,8,31.72,84
219,2024-01-21,26,3,2,9.59,140
220,2023-07-04,36,1,8,9.97,75
221,2024-12-10,27,4,3,11.20,169
222,2023-06-07,28,4,2,24.72,150
223,2024-02-15,33,4,9,38.80,180
224,2024-07-03,6,1,4,15.49,166
225,2024-09-19,37,4,6,18.36,3
226,2023-04-11,15,5,9,28.13,57
227,2024-04-01,26,4,10,7.73,7
228,2024-05-09,19,4,2,37.75,37
229,2023-12-23,22,4,4,15.24,25
230,2024-03-24,29,3,2,32.79,30
231,2023-01-24,7,2,4,22.97,85
232,2024-07-27,30,2,7,9.08,169
233,2024-03-18,2,5,4,18.32,2
234,2024-12-22,14,3,2,32.38,138
235,2023-07-11,21,2,8,27.49,126
236,2024-06-24,21,5,7,24.31,90
237,2023-12-27,40,2,5,24.43,173
238,2023-05-18,8,2,5,16.19,37
239,2024-06-07,27,5,3,18.08,125
240,2024-10-12,12,5,3,7.33,81
241,2024-04-06,4,3,1,9.41,99
242,2024-07-29,32,4,8,33.92,126
243,2023-06-21,37,1,4,12.44,138
244,2023-10-23,30,5,8,6.30,30
245,2023-10-02,24,5,1,18.77,56
246,2024-03-11,16,3,1,15.25,23
247,2024-03-25,16,2,10,34.72,157
248,2024-10-09,11,5,3,32.91,16
249,2024-08-06,35,3,10,14.30,181
250,2023-10-27,37,3,9,27.81,25
251,2023-05-19,4,3,3,7.04,38
252,2024-12-29,16,4,8,26.03,161
253,2024-02-29,29,1,2,30.49,178
254,2024-01-13,32,3,10,27.30,199
255,2023-04-06,30,3,2,17.11,110
256,2023-08-05,18,3,5,23.96,145
257,2024-05-11,4,1,2,33.79,5
258,2023-05-08,29,4,1,18.26,177
259,2023-05-16,20,2,5,15.70,22
260,2024-01-16,11,1,7,29.59,194
261,2023-08-28,6,1,1,4.96,152
262,2023-08-20,29,1,1,33.05,109
263,2024-12-11,31,1,4,29.77,27
264,2023-04-16,24,3,3,32.91,35
265,2024-10-18,10,1,9,25.19,43
266,2024-03-26,14,2,7,18.81,56
267,2023-03-30,9,1,10,15.36,110
268,2023-11-19,16,3,2,24.84,185
269,2024-09-14,2,3,4,21.36,192
270,2024-02-06,4,2,8,11.16,164
271,2024-08-31,34,1,6,7.02,146
272,2024-03-06,35,2,8,31.27,5
273,2024-08-24,1,3,4,4.30,102
274,2024-06-02,33,4,7,5.13,138
275,2024-07-04,10,3,2,21.43,53
276,2023-06-09,21,4,10,33.71,175
277,2024-10-20,20,4,4,5.28,112
278,2023-04-29,40,5,1,30.18,190
279,2023-06-29,1,2,1,38.21,134
280,2024-06-13,17,2,6,31.68,69
281,2023-05-01,22,4,5,11.99,148
282,2024-10-04,32,4,9,20.99,146
283,2023-06-20,11,3,2,27.62,30
284,2023-08-22,33,1,1,2.47,12
285,2024-04-28,25,2,3,34.58,142
286,2024-11-02,15,3,4,29.37,70
287,2023-03-21,24,1,9,4.00,58
288,2024-06-12,26,1,8,31.39,80
289,2023-12-02,36,4,1,13.08,78
290,2024-09-29,30,3,10,39.92,199
291,2023-07-20,35,2,3,25.40,105
292,2023-01-25,35,3,1,2.06,169
293,2024-01-21,20,1,4,11.05,126
294,2023-03-03,18,1,1,36.10,134
295,2024-02-27,24,4,2,21.21,164
296,2024-02-08,38,5,1,38.64,61
297,2023-10-26,21,4,6,12.33,20
298,2023-07-27,38,1,3,19.08,81
299,2024-02-21,35,3,4,19.61,31
300,2023-04-03,20,5,1,34.55,38
301,2023-04-04,16,3,7,27.73,67
302,2023-06-28,26,4,9,11.49,119
303,2023-04-15,8,1,1,39.34,34
304,2023-07-22,24,1,10,36.86,20
305,2023-01-23,13,4,3,34.20,85
306,2023-05-06,30,1,3,18.46,186
307,2024-02-09,2,4,7,10.16,48
308,2023-10-09,29,2,1,25.45,166
309,2023-10-30,27,5,8,12.63,36
310,2024-03-05,34,2,9,39.60,183
311,2024-01-03,35,4,6,21.09,100
312,2023-10-04,2,3,10,36.04,200
313,2023-10-15,31,5,6,39.99,41
314,2023-04-13,16,3,9,36.86,15
315,2023-08-13,25,3,3,24.52,189
316,2024-12-15,38,1,6,23.42,145
317,2023-07-12,35,3,3,5.43,60
318,2024-09-08,2,5,8,5.44,158
319,2023-07-26,22,2,6,7.61,181
320,2023-05-26,34,3,2,37.79,102
321,2024-08-23,22,3,6,7.99,112
322,2024-10-16,21,2,9,37.30,92
323,2023-08-17,38,2,7,28.16,33
324,2023-07-01,1,5,7,31.29,146
325,2023-02-03,39,3,10,23.49,128
326,2023-05-25,5,2,6,8.38,23
327,2024-12-26,22,4,1,11.48,18
328,2023-12-25,7,1,1,29.84,43
329,2024-02-28,25,3,9,33.49,148
330,2024-10-28,15,2,8,34.14,76
331,2023-01-21,17,1,2,35.74,42
332,2023-03-18,6,3,10,35.94,181
333,2023-02-01,11,5,7,5.85,53
334,2023-07-14,36,5,5,13.30,25
335,2023-02-20,37,5,8,15.71,110
336,2023-03-31,39,4,4,9.86,164
337,2023-10-26,31,1,5,19.90,170
338,2023-09-29,35,4,3,16.49,48
339,2024-04-01,17,4,8,33.81,145
340,2023-03-05,7,1,6,17.73,194
341,2024-08-26,36,1,7,17.91,138
342,2024-12-04,37,2,8,17.00,183
343,2023-02-05,37,5,10,25.57,31
344,2024-04-04,11,2,4,18.09,175
345,2024-03-21,10,5,5,29.63,18
346,2023-03-31,36,4,9,12.50,118
347,2023-01-13,40,5,9,6.28,39
348,2023-06-01,38,5,2,23.38,26
349,2023-10-20,23,4,5,20.45,156
350,2024-04-29,12,3,7,25.13,178
351,2024-02-16,26,3,4,20.06,69
352,2024-01-17,22,3,5,20.68,179
353,2024-12-02,15,2,5,18.84,83
354,2023-10-03,27,5,2,10.03,105
355,2024-05-11,24,1,9,4.49,182
356,2024-06-02,9,5,10,7.57,50
357,2023-07-25,16,1,8,15.69,51
358,2023-10-08,30,5,7,6.71,8
359,2023-09-05,32,5,8,35.08,151
360,2024-07-18,23,2,5,28.18,73
361,2023-01-29,4,2,10,10.14,57
362,2024-10-24,14,3,7,34.86,197
363,2024-11-29,31,2,3,2.32,65
364,2024-09-14,18,4,7,19.44,56
365,2024-04-22,34,5,7,2.28,170
366,2024-01-19,39,5,5,6.11,17
367,2023-12-11,21,3,5,38.18,167
368,2023-11-02,10,5,4,32.61,154
369,2024-02-18,21,2,1,39.90,67
370,2024-03-04,25,1,10,23.74,49
371,2023-12-18,15,5,8,27.53,130
372,2023-11-04,36,2,5,6.86,67
373,2024-07-26,22,1,4,30.28,79
374,2024-03-06,24,3,10,34.35,121
375,2023-02-24,38,5,10,35.80,129
376,2023-05-03,25,5,5,35.09,39
377,2023-05-21,22,4,10,39.49,37
378,2023-11-20,12,1,8,39.49,81
379,2024-10-11,1,4,5,31.39,148
380,2023-06-12,6,2,10,18.32,110
381,2024-05-03,1,1,9,16.18,4
382,2023-11-26,13,1,1,11.46,178
383,2023-12-19,9,1,7,13.63,17
384,2023-02-16,19,4,9,14.84,176
385,2023-05-18,32,3,4,36.46,104
386,2023-01-20,15,2,4,24.41,44
387,2023-05-07,3,4,5,25.68,153
388,2023-02-19,7,1,1,17.84,98
389,2023-05-07,17,4,3,28.06,3
390,2023-11-05,7,5,5,28.63,108
391,2023-04-18,40,1,5,6.04,51
392,2024-09-15,17,5,4,17.57,42
393,2023-02-10,32,2,8,2.10,172
394,2023-04-02,37,4,3,31.62,20
395,2023-04-14,15,4,5,3.90,45
396,2023-02-10,24,3,7,5.61,195
397,2023-02-16,9,2,6,18.63,160
398,2023-10-02,6,3,6,17.23,117
399,2023-10-06,31,4,3,28.45,16
400,2023-06-13,27,5,8,27.78,47
401,2024-09-17,23,5,1,35.44,187
402,2023-05-14,32,1,7,4.41,168
403,2023-11-18,34,5,10,38.32,87
404,2024-06-15,40,1,7,11.45,89
405,2024-11-10,25,2,9,25.29,3
406,2024-10-20,33,4,8,4.84,126
407,2023-11-25,22,3,1,22.92,97
408,2024-02-17,6,4,8,19.03,128
409,2024-04-02,8,4,1,17.67,143
410,2024-07-16,6,5,10,35.82,144
411,2023-07-31,30,3,6,33.03,117
412,2023-12-06,40,5,8,15.81,116
413,2023-04-27,15,1,6,26.08,75
414,2024-07-14,24,1,1,20.71,184
415,2024-02-24,17,5,4,37.35,101
416,2023-08-09,13,3,2,3.77,163
417,2024-11-19,8,4,8,38.34,35
418,2024-05-25,34,1,9,33.88,124
419,2024-06-04,38,2,3,26.99,156
420,2023-11-26,25,4,10,30.97,71
421,2024-02-12,19,4,3,24.90,192
422,2024-06-08,36,3,9,9.63,160
423,2023-10-25,23,2,3,28.38,83
424,2024-12-28,23,5,8,37.82,182
425,2024-03-03,35,3,7,21.86,7
426,2024-01-26,4,1,4,31.85,74
427,2024-11-30,10,1,5,22.56,92
428,2024-04-08,40,5,4,23.33,61
429,2024-06-07,19,1,7,38.35,176
430,2023-11-17,4,1,5,35.02,114
431,2023-08-19,24,5,9,9.47,186
432,2023-07-18,29,2,2,8.60,132
433,2023-05-03,3,4,5,6.94,150
434,2023-09-19,22,4,3,37.29,153
435,2023-02-22,40,3,8,22.91,19
436,2024-12-25,34,2,3,31.88,41
437,2024-03-01,35,4,2,35.57,170
438,2023-12-06,24,3,4,25.49,122
439,2024-07-28,1,1,6,36.37,158
440,2024-09-28,3,3,7,37.91,99
441,2023-09-20,19,1,9,16.25,131
442,2024-04-01,3,3,4,5.13,25
443,2023-06-21,35,1,2,25.92,55
444,2024-12-02,7,2,9,35.39,190
445,2024-03-21,5,2,1,14.61,23
446,2023-03-17,12,3,9,33.22,67
447,2024-02-22,29,4,7,16.80,31
448,2024-07-01,40,1,10,34.23,92
449,2024-05-29,19,3,10,31.08,113
450,2024-01-26,2,4,3,7.18,101
451,2024-07-12,10,3,6,2.42,143
452,2023-05-25,3,1,10,22.41,22
453,2023-11-09,23,2,7,34.36,37
454,2023-06-14,15,5,5,8.89,146
455,2023-02-25,30,5,2,4.56,26
456,2023-07-22,38,4,6,27.51,61
457,2023-04-13,40,1,4,19.12,158
458,2024-11-06,38,2,10,32.69,110
459,2023-06-22,21,2,4,26.35,71
460,2024-01-04,22,4,8,31.44,125
461,2024-07-18,12,5,2,34.63,36
462,2024-07-05,17,1,2,34.28,162
463,2023-02-01,38,4,10,3.39,67
464,2024-07-10,31,2,6,35.87,151
465,2023-10-25,30,5,9,15.83,3
466,2024-11-09,40,2,9,8.05,145
467,2024-08-02,10,4,6,30.94,60
468,2023-03-06,24,2,1,21.68,93
469,2024-02-02,30,1,1,14.31,181
470,2024-06-17,18,3,10,8.61,168
471,2024-01-23,38,1,9,38.96,58
472,2024-06-12,23,3,8,35.71,2
473,2024-05-28,29,2,4,26.45,55
474,2023-06-03,11,3,10,6.50,59
475,2024-02-29,8,4,8,24.45,166
476,2024-02-25,16,1,3,8.12,162
477,2024-06-08,37,2,1,37.05,133
478,2024-02-20,37,1,5,10.23,156
479,2024-04-27,11,2,7,32.20,197
480,2023-07-06,33,3,3,15.02,117
481,2024-09-02,5,2,7,6.13,52
482,2024-06-19,27,2,10,20.08,158
483,2024-09-06,35,5,2,27.06,155
484,2024-07-06,28,5,7,3.65,136
485,2024-03-15,31,4,6,30.17,195
486,2024-12-14,7,4,3,31.10,22
487,2023-10-18,35,4,5,28.95,2
488,2024-08-14,8,5,1,9.81,81
489,2024-02-23,7,2,7,11.64,138
490,2024-03-09,24,5,5,17.10,53
491,2024-02-28,36,4,3,23.09,65
492,2023-11-11,23,4,3,27.05,192
493,2023-08-24,11,1,4,31.87,141
494,2024-09-20,4,2,7,2.20,24
495,2023-05-29,39,4,2,10.43,21
496,2024-09-15,25,4,10,12.89,153
497,2023-02-28,32,4,1,26.96,133
498,2023-10-20,3,5,9,10.80,44
499,2024-11-21,24,2,1,5.30,71
500,2024-02-14,26,4,10,2.58,181
501,2023-03-12,36,3,9,15.23,71
502,2023-08-20,13,4,7,11.92,105
503,2024-06-02,36,1,9,37.99,132
504,2023-09-21,37,3,8,23.40,198
505,2023-09-07,30,4,10,20.31,67
506,2023-03-11,15,2,6,15.42,138
507,2023-01-10,17,2,5,27.60,88
508,2023-03-19,12,4,6,35.98,69
509,2023-07-07,13,4,4,11.20,68
510,2023-07-31,13,2,10,31.60,31
511,2023-03-22,32,5,1,22.58,11
512,2024-05-08,40,3,8,35.48,148
513,2023-10-09,12,5,5,30.51,33
514,2023-02-25,28,4,9,15.20,176
515,2023-06-28,8,5,8,2.32,173
516,2023-08-04,38,1,6,34.75,48
517,2024-07-15,16,3,8,15.04,48
518,2024-05-25,14,4,6,17.22,116
519,2023-07-04,9,5,4,29.39,61
520,2024-07-22,25,2,3,30.06,122
521,2023-01-10,27,4,3,34.28,133
522,2024-06-30,21,4,5,34.62,13
523,2024-02-12,11,1,4,20.11,162
524,2023-04-09,22,3,6,23.18,66
525,2023-12-19,27,1,6,38.60,51
526,2024-08-13,35,2,5,27.58,125
527,2024-04-02,25,5,5,38.35,43
528,2024-10-17,27,5,10,36.47,21
529,2023-06-15,15,3,6,29.00,155
530,2024-10-22,18,4,6,21.80,116
531,2024-02-28,12,1,3,27.16,191
532,2024-12-18,6,2,3,5.63,122
533,2024-07-15,2,4,9,5.16,68
534,2024-09-24,6,4,5,30.03,114
535,2024-10-03,9,5,3,7.57,170
536,2024-01-01,31,4,9,22.84,35
537,2024-12-15,12,5,10,30.46,145
538,2024-03-21,35,3,6,10.63,23
539,2024-03-28,24,4,5,2.40,134
540,2023-05-20,19,4,9,16.49,126
541,2024-05-03,1,4,5,32.28,141
542,2024-01-18,27,5,7,8.20,189
543,2024-10-23,25,2,5,25.76,133
544,2024-09-19,18,3,9,17.69,18
545,2023-07-06,19,1,8,12.34,160
546,2024-05-18,21,1,3,22.33,48
547,2023-04-15,18,2,8,10.85,39
548,2023-01-16,14,3,7,32.38,96
549,2024-04-19,3,3,2,38.16,15
550,2023-09-30,5,5,8,36.04,65
551,2024-01-26,8,2,7,18.83,189
552,2023-02-04,30,1,9,9.92,100
553,2024-11-28,21,2,1,22.88,32
554,2023-09-17,20,2,6,34.82,56
555,2023-04-26,28,3,1,12.49,31
556,2024-02-10,1,1,10,20.06,153
557,2023-06-08,6,2,3,28.07,87
558,2024-10-02,4,3,3,32.08,33
559,2024-05-14,21,5,6,18.67,50
560,2023-01-22,25,3,3,3.50,181
561,2024-03-24,19,5,8,9.09,90
562,2023-11-28,30,3,10,23.07,18
563,2024-06-27,29,3,5,19.26,199
564,2024-10-15,25,2,1,15.83,159
565,2023-09-02,5,5,7,27.96,197
566,2024-07-18,40,3,6,14.24,25
567,2024-06-19,5,1,3,3.19,28
568,2024-05-12,7,1,10,16.77,126
569,2024-06-22,38,3,1,25.03,19
570,2023-01-14,32,1,8,4.31,143
571,2024-03-01,4,5,5,29.90,78
572,2023-03-21,34,1,2,22.20,49
573,2023-07-17,16,5,3,23.21,192
574,2023-04-19,37,3,8,18.23,27
575,2023-06-20,36,4,9,8.01,154
576,2024-03-29,21,5,6,17.67,163
577,2024-03-16,21,5,4,10.13,197
578,2024-07-17,17,3,8,17.09,186
579,2023-02-05,39,1,9,35.83,2
580,2023-11-04,14,3,1,37.85,71
581,2024-07-20,36,5,10,3.43,92
582,2023-06-09,17,3,10,11.74,77
583,2023-04-05,26,5,4,29.50,124
584,2023-06-27,37,1,10,3.42,148
585,2024-01-26,4,3,6,18.50,31
586,2023-08-21,39,1,7,21.93,82
587,2024-07-06,10,3,9,7.82,173
588,2024-02-07,39,5,9,18.41,101
589,2023-06-01,22,1,8,3.87,103
590,2023-09-26,26,5,7,6.95,35
591,2024-05-07,13,4,7,9.45,158
592,2024-06-20,16,1,5,14.29,148
593,2023-04-02,27,4,6,14.19,153
594,2024-11-02,20,2,6,39.63,114
595,2024-09-30,29,1,4,16.21,194
596,2023-03-29,4,2,10,35.01,74
597,2023-01-15,8,3,8,14.61,190
598,2024-07-04,14,5,9,22.85,160
599,2023-05-25,2,4,10,22.02,66
600,2023-06-24,19,2,10,19.67,3
601,2023-03-10,18,3,2,40.25,167
602,2024-01-31,25,5,2,20.42,153
603,2024-06-28,12,2,9,23.31,183
604,2023-01-23,16,5,5,16.95,41
605,2023-01-19,23,3,5,39.17,129
606,2023-10-10,17,4,1,38.07,58
607,2023-06-05,26,2,2,21.79,174
608,2024-09-19,15,4,4,18.21,80
609,2024-09-11,29,5,3,7.27,139
610,2024-12-01,9,3,9,18.34,198
611,2023-05-29,37,2,6,22.25,185
612,2023-05-02,21,2,1,35.45,106
613,2024-02-26,29,3,3,6.06,48
614,2023-01-27,40,3,10,10.77,60
615,2023-08-25,2,3,2,20.11,129
616,2024-09-11,24,2,7,7.23,50
617,2023-08-20,27,1,5,10.46,172
618,2023-07-27,5,2,8,20.62,84
619,2024-04-13,28,4,1,33.32,185
620,2023-11-17,40,5,10,26.37,181
621,2023-02-09,7,4,8,3.61,63
622,2024-06-15,26,1,9,31.08,13
623,2023-07-14,29,4,5,12.86,43
624,2024-03-08,40,1,9,19.62,166
625,2024-04-07,33,1,3,37.64,179
626,2024-07-13,26,4,6,8.80,152
627,2024-12-30,30,1,5,26.65,183
628,2023-06-17,8,1,2,26.09,22
629,2024-06-20,25,5,10,16.39,98
630,2023-02-14,22,5,3,7.50,197
631,2024-12-30,27,3,5,38.52,74
632,2024-10-03,8,2,4,31.46,196
633,2023-09-17,30,4,8,2.22,127
634,2023-09-01,38,4,8,5.02,154
635,2023-01-07,36,3,10,33.16,54
636,2023-02-20,10,1,6,34.45,171
637,2024-08-14,20,3,2,17.84,46
638,2023-06-15,19,5,10,23.36,117
639,2024-08-15,3,1,5,36.11,18
640,2024-03-13,5,3,8,28.40,71
641,2023-12-04,27,5,4,25.26,28
642,2024-08-08,34,1,8,24.98,181
643,2023-10-22,39,3,5,39.81,91
644,2023-05-13,37,4,9,20.91,47
645,2024-09-16,19,2,1,19.67,31
646,2023-08-01,27,4,1,23.30,164
647,2023-08-06,13,3,5,13.70,130
648,2024-07-17,1,1,6,29.53,158
649,2023-01-30,13,3,6,20.21,122
650,2023-02-06,9,4,3,35.90,138
651,2023-12-10,27,1,9,29.55,81
652,2024-07-22,2,2,10,32.38,91
653,2023-03-09,18,1,6,25.81,43
654,2024-08-07,25,2,10,31.73,79
655,2024-12-23,3,3,7,35.33,96
656,2024-04-07,14,5,5,16.22,10
657,2023-07-26,29,5,1,36.39,40
658,2023-07-14,31,5,5,7.45,26
659,2024-06-12,9,2,1,29.12,134
660,2023-04-29,20,1,10,14.67,12
661,2023-04-16,20,1,10,26.28,54
662,2023-11-25,13,3,5,31.37,172
