id_cliente,eta,fascia_eta,genere,citta,tessera_fedelta
70,57,51-65,M,Acireale,1
71,21,18-35,M,Acireale,0
72,27,18-35,F,Misterbianco,1
73,67,66+,F,Misterbianco,1
74,36,36-50,M,Catania,0
75,46,36-50,M,Adrano,0
76,24,18-35,M,Catania,0
77,35,18-35,F,Adrano,1
78,74,66+,F,Adrano,0
79,38,36-50,F,Misterbianco,1
80,49,36-50,F,Adrano,0
81,48,36-50,F,Misterbianco,1
82,54,51-65,M,Paternò,1
83,58,51-65,M,Acireale,1
84,47,36-50,F,Acireale,1
85,26,18-35,F,Misterbianco,1
86,77,66+,F,Catania,1
87,71,66+,F,Adrano,1
88,66,66+,F,Catania,1
89,56,51-65,F,Misterbianco,1
90,80,66+,M,Paternò,0
91,80,66+,M,Misterbianco,1
92,69,66+,M,Misterbianco,1
93,21,18-35,F,Adrano,1
94,28,18-35,F,Acireale,0
95,41,36-50,M,Paternò,0
96,59,51-65,M,Misterbianco,1
97,61,51-65,F,Paternò,0
98,50,36-50,M,Misterbianco,1
99,24,18-35,F,Acireale,1
100,23,18-35,M,Acireale,1
101,20,18-35,M,Acireale,1
102,78,66+,M,Adrano,1
103,77,66+,F,Paternò,1
104,32,18-35,M,Paternò,1
105,21,18-35,F,Adrano,0
106,68,66+,M,Catania,1
107,31,18-35,F,Adrano,1
108,23,18-35,F,Adrano,0
109,65,51-65,M,Adrano,1
110,19,18-35,F,Misterbianco,1
111,73,66+,F,Misterbianco,1
112,73,66+,M,Adrano,1
113,79,66+,F,Misterbianco,1
114,59,51-65,M,Catania,1
115,75,66+,M,Misterbianco,0
116,61,51-65,M,Misterbianco,1
117,41,36-50,F,Acireale,1
118,51,51-65,F,Paternò,1
119,19,18-35,M,Catania,1
120,70,66+,F,Adrano,1
121,78,66+,F,Misterbianco,1
122,29,18-35,F,Acireale,0
123,49,36-50,F,Adrano,1
124,78,66+,F,Misterbianco,1
125,63,51-65,F,Paternò,1
126,50,36-50,M,Catania,1
127,58,51-65,M,Adrano,1
128,42,36-50,M,Misterbianco,1
129,85,66+,F,Catania,1
130,55,51-65,M,Paternò,1
131,56,51-65,M,Adrano,1
132,53,51-65,M,Catania,1
133,34,18-35,F,Catania,1
134,54,51-65,F,Misterbianco,0
135,61,51-65,M,Catania,1
136,79,66+,M,Catania,0
137,80,66+,M,Adrano,1
138,37,36-50,M,Adrano,1
139,28,18-35,M,Catania,0
140,46,36-50,F,Misterbianco,0
141,56,51-65,F,Paternò,1
142,30,18-35,M,Acireale,1
143,28,18-35,M,Acireale,1
144,27,18-35,M,Catania,0
145,75,66+,F,Paternò,1
146,47,36-50,F,Paternò,0
147,27,18-35,M,Paternò,1
148,72,66+,M,Adrano,1
149,37,36-50,F,Acireale,1
150,25,18-35,M,Paternò,1
151,74,66+,M,Misterbianco,1
152,69,66+,F,Adrano,0
153,74,66+,M,Adrano,1
154,73,66+,F,Adrano,1
155,21,18-35,M,Acireale,1
156,52,51-65,M,Acireale,0
157,84,66+,F,Paternò,1
158,73,66+,F,Catania,0
159,62,51-65,F,Paternò,1
160,31,18-35,M,Paternò,0
161,81,66+,F,Misterbianco,1
162,76,66+,M,Paternò,1
163,59,51-65,M,Misterbianco,1
164,77,66+,F,Catania,1
165,84,66+,F,Adrano,0
166,74,66+,M,Acireale,1
167,34,18-35,F,Misterbianco,0
168,33,18-35,M,Adrano,1
169,38,36-50,F,Adrano,1
170,70,66+,M,Acireale,1
171,77,66+,M,Acireale,0
172,55,51-65,F,Misterbianco,0
173,78,66+,M,Misterbianco,1
174,67,66+,M,Adrano,1
175,26,18-35,F,Misterbianco,1
176,82,66+,F,Catania,1
177,56,51-65,F,Acireale,0
178,79,66+,F,Paternò,0
179,76,66+,F,Acireale,1
180,67,66+,M,Misterbianco,1
181,58,51-65,F,Misterbianco,0
182,37,36-50,F,Catania,1
183,82,66+,F,Catania,0
184,30,18-35,F,Catania,1
185,70,66+,M,Catania,0
186,51,51-65,F,Adrano,0
187,28,18-35,F,Adrano,0
188,58,51-65,F,Adrano,1
189,26,18-35,M,Paternò,1
190,29,18-35,F,Catania,1
191,74,66+,M,Paternò,1
192,23,18-35,F,Catania,1
193,63,51-65,F,Misterbianco,1
194,49,36-50,F,Adrano,1
195,39,36-50,M,Catania,0
196,48,36-50,F,Adrano,1
197,47,36-50,F,Paternò,0
198,50,36-50,M,Misterbianco,1
199,38,36-50,M,Misterbianco,1
200,56,51-65,F,Paternò,0
